OR,Re_label,Q_LPM,Rth_field,Rth_sealed,c_rth,c_T,dp_field,Wpump_W,passed_validity_envelope,feasible
0.8,2,0.1421021182532167,1.1700811428571432,0.0609845814285714,19.186507727819837,844.0568000000002,0.0050000000046566,1.1841843198796603e-08,n,False
0.8,5,0.3552552956330418,0.95148215,0.03546603,26.82798582192594,691.0375050000001,0.0139999999955762,8.289290228818345e-08,n,False
0.8,10,0.7105105912660837,3.689577685714285,0.0268399585714286,137.46584876035826,2607.70438,-0.149600000004284,-1.7715397409408324e-06,n,False
0.8,20,1.4210211825321677,0.6573364414285715,0.0222010585714286,29.6083377877541,485.135509,0.0620000000053551,1.4683885554100684e-06,n,False
0.8,40,2.842042365064335,0.4662454142857142,0.0195787528571428,23.813846453228848,351.37179,0.1389999999955762,6.584064812189498e-06,n,False
0.8,70,4.973574138862586,0.3338275385714286,0.01818386,18.35845296716036,258.679277,0.2949999999982537,2.445340618259629e-05,n,False
0.8,100,7.105105912660837,0.2765498,0.0174499971428572,15.84812866936199,218.58486,0.5249999999941792,6.216967673509303e-05,n,False
0.8,150,10.657658868991255,0.2197802114285715,0.01669816,13.161941880337205,178.84614800000003,1.0869999999995343,0.00019308125317647553,n,False
0.8,250,17.762764781652095,0.1537877928571428,0.0158417714285714,9.707739664756119,132.651455,2.6560000000026776,0.0007862983876685922,n,False
0.9,2,0.0786012276020309,1.4198815142857144,0.0609845814285714,23.282631134375503,1018.91706,0.0019999999931314,2.62004091106969e-09,n,False
0.9,5,0.1965030690050774,4.704842871428571,0.03546603,132.65772547501288,3318.39001,-0.0237999999953899,-7.794621735691572e-08,n,False
0.9,10,0.3930061380101549,1.0194965,0.0268399585714286,37.984279941671154,738.64755,0.0130000000062864,8.515132994337679e-08,n,False
0.9,20,0.7860122760203098,1.000744881428571,0.0222010585714286,45.076448864310834,725.521417,0.0280000000057043,3.6680572888420536e-07,n,False
0.9,40,1.5720245520406195,6.1238132285714295,0.0195787528571428,312.77851420129224,4311.669260000001,-1.1002000000007683,-2.882569020260496e-05,n,False
0.9,70,2.751042966071084,0.6758288557142859,0.01818386,37.16641327607482,498.0801990000001,0.1110000000044237,5.0894294874343355e-06,n,False
0.9,100,3.930061380101548,0.6770606942857142,0.0174499971428572,38.80004613999924,498.942486,0.1699999999982537,1.1135173910173334e-05,n,False
0.9,150,5.895092070152323,0.4898558442857144,0.01669816,29.33591750742084,367.89909100000006,0.2880000000004656,2.82964419367769e-05,n,False
0.9,250,9.82515345025387,0.3744217542857143,0.0158417714285714,23.635093838712162,287.095228,0.5979999999981374,9.792402938722523e-05,n,False
1.0,2,0.6501092434627032,0.9307985357142856,0.0609845814285714,15.262850279697167,676.558975,0.0190000000002328,2.0586792709904507e-07,n,False
