case_id,campaign_group,fluid,topology,open_ratio,reynolds_number,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample,holdout_category,raw_data_location
DOE_Case_066,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_066
DOE_Case_067,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_067
DOE_Case_068,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_068
DOE_Case_069,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_069
DOE_Case_070,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_070
DOE_Case_071,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_071
DOE_Case_072,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_072
DOE_Case_073,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_073
DOE_Case_074,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_074
DOE_Case_075,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_075
DOE_Case_076,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_076
DOE_Case_077,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_077
DOE_Case_078,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_078
DOE_Case_079,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_079
DOE_Case_080,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_080
DOE_Case_081,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.8,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_081
DOE_Case_082,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_082
DOE_Case_083,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_083
DOE_Case_084,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_084
