case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_072,Baseline_OpenRatio_Reynolds,0.7,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_073,Baseline_OpenRatio_Reynolds,0.8,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_074,Baseline_OpenRatio_Reynolds,0.8,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_075,Baseline_OpenRatio_Reynolds,0.8,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_076,Baseline_OpenRatio_Reynolds,0.8,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_077,Baseline_OpenRatio_Reynolds,0.8,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_078,Baseline_OpenRatio_Reynolds,0.8,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_079,Baseline_OpenRatio_Reynolds,0.8,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_080,Baseline_OpenRatio_Reynolds,0.8,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_081,Baseline_OpenRatio_Reynolds,0.8,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_082,Baseline_OpenRatio_Reynolds,0.9,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_083,Baseline_OpenRatio_Reynolds,0.9,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_084,Baseline_OpenRatio_Reynolds,0.9,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_085,Baseline_OpenRatio_Reynolds,0.9,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_086,Baseline_OpenRatio_Reynolds,0.9,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_087,Baseline_OpenRatio_Reynolds,0.9,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_088,Baseline_OpenRatio_Reynolds,0.9,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_089,Baseline_OpenRatio_Reynolds,0.9,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
