case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_094,Baseline_OpenRatio_Reynolds,1.0,150,FC-40,Plate-Fin,700.0,1.566,55.37,0.2847,244.9,0.019,4.77,0.0,35124.9,COMPLETED_CONVERGED
DOE_Case_095,Baseline_OpenRatio_Reynolds,1.0,250,FC-40,Plate-Fin,700.0,2.61,59.29,0.26198,220.76,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_096,Baseline_OpenRatio_Reynolds,1.0,350,FC-40,Plate-Fin,700.0,3.654,61.86,0.24612,206.12,0.068,5.61,4e-06,40630.4,COMPLETED_CONVERGED
DOE_Case_097,Baseline_OpenRatio_Reynolds,1.0,500,FC-40,Plate-Fin,700.0,5.22,64.6,0.22909,191.55,0.123,6.08,1.1e-05,43651.2,COMPLETED_CONVERGED
DOE_Case_098,Baseline_OpenRatio_Reynolds,1.0,750,FC-40,Plate-Fin,700.0,7.83,67.71,0.2101,176.19,0.25,6.71,3.3e-05,47597.4,COMPLETED_CONVERGED
DOE_Case_099,Baseline_OpenRatio_Reynolds,1.0,1000,FC-40,Plate-Fin,700.0,10.441,69.91,0.19721,166.14,0.42,7.21,7.3e-05,50706.6,COMPLETED_CONVERGED
DOE_Case_100,Fluid_Sensitivity,0.0,50,PAO-4,Plate-Fin,700.0,4.942,0.78,0.11606,113.5,0.657,6.24,5.4e-05,86163.2,COMPLETED_CONVERGED
DOE_Case_101,Fluid_Sensitivity,0.0,250,PAO-4,Plate-Fin,700.0,24.709,0.78,0.07626,79.83,5.861,11.06,0.002414,5432.7,COMPLETED_CONVERGED
DOE_Case_102,Fluid_Sensitivity,0.0,750,PAO-4,Plate-Fin,700.0,74.128,0.78,0.05733,65.61,36.907,16.7,0.045598,382.5,COMPLETED_CONVERGED
DOE_Case_103,Fluid_Sensitivity,0.1,50,PAO-4,Plate-Fin,700.0,4.942,14.3,0.12015,116.36,0.548,5.98,4.5e-05,83231.7,COMPLETED_CONVERGED
